+4 0:15.993267 1:0.095768064 2:-9.021352 3:16.836027 4:-0.93852705 5:-12.909535 6:17.104177 7:-1.3024458 8:-18.713081 9:19.096153 10:-1.091756 11:-19.6133 12:18.65562 13:-2.777274 14:-19.40261 15:16.548721 16:-4.7309427 17:-17.219099 18:14.537593 19:-6.129156 20:-19.019539 21:14.001291 22:-8.465898 23:-19.6133 24:14.250289 25:-10.5919485 26:-16.567875 27:15.591042 28:-11.377247 29:-12.430696 30:15.801731 31:-12.6222315 32:-10.994174 33:15.95496 34:-14.824897 35:-9.9790325 36:13.388376 37:-17.736246 38:-9.270349 39:10.189722 40:-18.847157 41:-6.0525417 42:7.8529816 43:-19.306843 44:-4.0414124 45:5.7843914 46:-19.460072 47:-1.436521 48:4.960786 49:-19.460072 50:1.934515 51:2.9496565 52:-19.13446 53:6.2249246 54:0.47884035 55:-18.176779 56:12.5264635 57:-4.0222588 58:-16.778566 59:18.92377 60:-8.082825 61:-14.346057 62:19.460072 63:-9.768343 64:-12.181698 65:18.847157 66:-8.619126 67:-11.147403 68:15.437813 69:-8.7532015 70:-10.70687 71:16.203957 72:-10.036493 73:-10.496181 74:16.548721 75:-8.542512 76:-9.270349 77:13.139379 78:-5.45878 79:-6.167464 80:9.730036 81:0.61291564 82:-0.7661445 83:9.289502 84:11.60709 85:2.3942018 86:13.273455 87:18.981232 88:6.895301 89:18.80885 
+4 0:11.415554 1:-3.715801 2:-12.08593 3:13.733141 4:-3.064578 5:-16.414646 6:14.211981 7:-3.7732618 8:-18.272547 9:10.6877165 10:-4.7500963 11:-19.6133 12:10.649409 13:-6.167464 14:-17.7554 15:13.445837 16:-7.967903 17:-15.514427 18:15.667656 19:-7.9487495 20:-18.253393 21:16.338032 22:-8.37013 23:-19.6133 24:15.74427 25:-12.200851 26:-19.6133 27:14.15452 28:-15.7825775 29:-18.50239 30:15.552734 31:-16.74026 32:-15.093047 33:18.425776 34:-18.004396 35:-14.633361 36:19.077 37:-19.460072 38:-15.68681 39:15.993267 40:-19.460072 41:-12.277467 42:14.5567465 43:-19.460072 44:-8.159439 45:12.564771 46:-19.460072 47:-6.991069 48:10.01734 49:-19.460072 50:-5.592855 51:4.76925 52:-19.460072 53:-2.2026656 54:2.2984335 55:-19.249382 56:-0.2681506 57:1.6663644 58:-17.391481 59:0.6895301 60:-0.7661445 61:-16.529568 62:3.6966474 63:-3.86903 64:-17.06587 65:7.8912888 66:-6.895301 67:-18.50239 68:16.529568 69:-8.90643 70:-17.391481 71:19.460072 72:-7.7189064 73:-18.253393 74:19.460072 75:-3.9839516 76:-19.460072 77:13.618219 78:-2.27928 79:-17.717093 80:2.5474305 81:-0.30645782 82:-11.951855 83:3.4093432 84:4.4436383 85:-6.8761473 86:9.902418 87:15.571888 88:-5.554548 89:5.995081 
+4 0:6.933608 1:-4.003105 2:-14.326903 3:8.810662 4:-6.991069 5:-17.142485 6:14.595054 7:-6.83784 8:-19.6133 9:15.131354 10:-4.9799395 11:-19.6133 12:18.789696 13:-11.358093 14:-19.6133 15:19.230228 16:-15.150508 17:-19.28769 18:18.942924 19:-19.057846 20:-18.02355 21:16.548721 22:-19.460072 23:-19.191921 24:16.778566 25:-19.460072 26:-16.682798 27:12.641385 28:-19.460072 29:-9.959879 30:6.8186865 31:-19.460072 32:-3.3901896 33:5.746084 34:-19.460072 35:-0.15322891 36:4.960786 37:-19.460072 38:2.585738 39:-0.6895301 40:-19.460072 41:10.43872 42:-10.381259 43:-19.460072 44:19.325996 45:-16.529568 46:-19.13446 47:19.460072 48:-13.081918 49:-17.104177 50:12.200851 51:-5.803545 52:-14.518439 53:7.0485296 54:2.5474305 55:-11.856087 56:15.763424 57:7.0102224 58:-5.7843914 59:19.460072 60:12.852075 61:2.4133554 62:19.460072 63:19.230228 64:7.603985 65:19.460072 66:19.460072 67:11.87524 68:19.460072 69:19.460072 70:12.6222315 71:15.8783455 72:19.460072 73:13.828909 74:-3.6774938 75:19.460072 76:12.08593 77:-13.752295 78:19.460072 79:3.1028855 80:-17.00841 81:19.383457 82:-4.271256 83:-19.6133 84:16.127342 85:-4.232949 86:-19.6133 87:13.254301 88:-3.9264908 89:-19.6133 
+4 0:18.942924 1:-1.1300632 2:-10.5919485 3:11.358093 4:0.32561144 5:-19.479225 6:7.73806 7:-1.4748282 8:-17.27656 9:13.733141 10:-4.271256 11:-10.745177 12:19.172768 13:-5.4779334 14:-17.00841 15:19.460072 16:-1.934515 17:-19.6133 18:19.460072 19:-9.136273 20:-19.6133 21:19.211075 22:-17.27656 23:-14.709975 24:18.44493 25:-19.460072 26:-9.749189 27:19.460072 28:-19.460072 29:-13.196839 30:18.100164 31:-19.460072 32:-15.227123 33:10.5919485 34:-19.460072 35:-4.8841715 36:6.2632318 37:-19.460072 38:2.585738 39:6.0142345 40:-19.460072 41:1.5131354 42:1.3215994 43:-19.460072 44:1.2258313 45:-10.28549 46:-19.460072 47:13.8480625 48:-18.828003 49:-19.460072 50:19.460072 51:-18.100164 52:-19.460072 53:19.460072 54:-7.8912888 55:-19.096153 56:17.104177 57:0.9959879 58:-13.771448 59:11.453861 60:5.841852 61:-8.312668 62:17.54471 63:17.257406 64:-4.7309427 65:19.460072 66:19.460072 67:-2.432509 68:15.820885 69:19.460072 70:6.8761473 71:-7.240066 72:19.460072 73:12.813767 74:-11.87524 75:19.460072 76:4.405331 77:-4.462792 78:19.460072 79:-11.990162 80:-5.305551 81:19.383457 82:-16.069881 83:-19.306843 84:13.905523 85:-6.933608 86:-19.6133 87:10.879252 88:-7.8146744 89:-19.6133 
+4 0:13.733141 1:-4.6926355 2:-16.261417 3:14.135366 4:-3.9839516 5:-19.6133 6:16.414646 7:-4.865018 8:-19.6133 9:17.717093 10:-6.4164605 11:-19.6133 12:18.042704 13:-9.097966 14:-19.6133 15:19.460072 16:-15.361198 17:-19.000385 18:19.440918 19:-19.268536 20:-17.33402 21:19.440918 22:-19.460072 23:-15.150508 24:18.713081 25:-19.460072 26:-12.124237 27:15.035586 28:-19.460072 29:-5.4204726 30:11.549629 31:-19.460072 32:2.2409728 33:7.680599 34:-19.460072 35:4.405331 36:-1.0342951 37:-19.460072 38:7.5848308 39:-10.515334 40:-19.460072 41:13.445837 42:-16.452953 43:-19.460072 44:19.440918 45:-15.093047 46:-19.460072 47:19.460072 48:-5.3821654 49:-19.460072 50:19.460072 51:2.4899697 52:-16.701952 53:15.437813 54:6.0142345 55:-10.266336 56:14.384364 57:17.046717 58:-2.4133554 59:17.659632 60:19.460072 61:3.2944214 62:19.460072 63:19.460072 64:8.580819 65:18.598158 66:19.460072 67:10.419566 68:9.959879 69:19.460072 70:5.9759274 71:-0.842759 72:19.460072 73:-2.6048915 74:-3.5817258 75:19.460072 76:-16.203957 77:-11.741165 78:18.521544 79:-17.27656 80:-19.6133 81:14.480132 82:-9.5385 83:-19.6133 84:16.127342 85:-10.01734 86:-19.6133 87:19.306843 88:-8.676587 89:-19.6133 
+4 0:15.073894 1:-12.641385 2:-8.446744 3:15.763424 4:-14.250289 5:-13.484144 6:12.449849 7:-10.43872 8:-19.440918 9:9.844957 10:-10.515334 11:-19.6133 12:16.031574 13:-13.464991 14:-19.6133 15:19.460072 16:-13.484144 17:-19.6133 18:19.460072 19:-12.315774 20:-19.6133 21:19.460072 22:-17.33402 23:-18.86631 24:19.460072 25:-19.460072 26:-12.6222315 27:19.440918 28:-19.460072 29:-11.377247 30:19.440918 31:-19.460072 32:-10.534488 33:17.353174 34:-19.460072 35:-5.93762 36:12.469003 37:-19.460072 38:-2.0494366 39:5.803545 40:-19.460072 41:0.59376204 42:3.371036 43:-19.460072 44:0.30645782 45:-2.3175871 46:-19.460072 47:1.1875241 48:-10.534488 49:-19.460072 50:14.135366 51:-17.985243 52:-19.383457 53:19.460072 54:-17.927782 55:-16.64449 56:19.460072 57:-9.021352 58:-14.805743 59:16.01242 60:0.076614454 61:-8.983045 62:7.795521 63:8.619126 64:-4.060566 65:17.33402 66:18.55985 67:0.9768343 68:19.460072 69:19.460072 70:3.2752678 71:17.180792 72:19.460072 73:3.083732 74:8.082825 75:19.460072 76:0.11492168 77:0.91937345 78:19.460072 79:-6.167464 80:-6.4739213 81:19.460072 82:-16.261417 83:-11.683704 84:13.771448 85:-16.22311 86:-19.6133 87:8.695741 88:-12.77546 89:-19.6133 
+4 0:17.697939 1:-7.0102224 2:-18.119318 3:17.793707 4:-9.768343 5:-13.2351465 6:16.529568 7:-8.2169 8:-19.13446 9:10.400413 10:-4.865018 11:-19.6133 12:9.80665 13:-5.209783 14:-19.6133 15:18.579004 16:-8.063671 17:-19.6133 18:19.460072 19:-7.9870567 20:-19.6133 21:19.460072 22:-11.473015 23:-19.6133 24:19.460072 25:-18.061857 26:-17.161638 27:19.460072 28:-19.460072 29:-9.5385 30:19.460072 31:-19.460072 32:-10.43872 33:18.100164 34:-19.460072 35:-12.832921 36:12.98615 37:-19.460072 38:-8.025364 39:10.879252 40:-19.460072 41:-3.5051112 42:7.967903 43:-19.460072 44:-1.1300632 45:2.1452048 46:-19.460072 47:3.5242648 48:-6.8569937 49:-19.460072 50:10.70687 51:-15.648502 52:-19.460072 53:17.774553 54:-18.55985 55:-19.460072 56:19.460072 57:-14.84405 58:-19.460072 59:19.460072 60:-7.1826053 61:-19.460072 62:15.648502 63:4.8267107 64:-17.640478 65:8.121132 66:18.2917 67:-11.798626 68:14.020445 69:19.460072 70:-5.3821654 71:18.770542 72:19.460072 73:3.8881836 74:15.342045 75:19.460072 76:4.3287168 77:13.215993 78:19.460072 79:-2.4708161 80:-0.4213795 81:19.460072 82:-6.531382 83:-17.774553 84:19.460072 85:-10.611102 86:-18.65562 87:19.460072 88:-14.671668 89:-19.6133 
+4 0:16.816874 1:-13.962984 2:-14.5759 3:9.710882 4:-9.3661175 5:-19.6133 6:12.909535 7:-8.082825 8:-19.6133 9:17.793707 10:-7.0485296 11:-19.6133 12:19.364304 13:-8.504205 14:-19.6133 15:19.460072 16:-14.097059 17:-19.6133 18:19.460072 19:-19.13446 20:-19.6133 21:19.440918 22:-19.460072 23:-16.931795 24:19.40261 25:-19.460072 26:-13.139379 27:16.970102 28:-19.460072 29:-9.9790325 30:13.139379 31:-19.460072 32:-6.205771 33:8.025364 34:-19.460072 35:-1.6089035 36:3.4093432 37:-19.460072 38:4.271256 39:-0.7661445 40:-19.460072 41:4.9416323 42:-8.063671 43:-19.460072 44:11.779472 45:-15.68681 46:-19.440918 47:19.460072 48:-17.142485 49:-18.406622 50:19.460072 51:-12.5264635 52:-19.460072 53:19.249382 54:-4.960786 55:-19.460072 56:10.649409 57:5.1523223 58:-19.460072 59:4.7500963 60:17.372328 61:-14.920665 62:2.030283 63:19.460072 64:-1.6089035 65:0.8810662 66:19.460072 67:5.4779334 68:5.746084 69:19.460072 70:3.5625722 71:0.1340753 72:19.460072 73:-3.8115692 74:-8.2169 75:19.460072 76:-6.742072 77:-19.172768 78:19.460072 79:-3.122039 80:-19.6133 81:19.460072 82:-5.650316 83:-19.6133 84:19.460072 85:-7.6231384 86:-19.6133 87:19.096153 88:-10.247183 89:-19.6133 
+4 0:19.460072 1:-1.6089035 2:-8.1402855 3:16.931795 4:-4.596867 5:-15.303738 6:13.40753 7:-4.6351743 8:-19.40261 9:14.039598 10:-2.6623523 11:-19.6133 12:16.031574 13:-2.4516625 14:-19.6133 15:18.004396 16:-4.156334 17:-19.6133 18:19.460072 19:-5.7269306 20:-19.6133 21:19.268536 22:-7.9487495 23:-19.6133 24:15.495274 25:-10.5919485 26:-18.50239 27:15.073894 28:-12.5264635 29:-13.40753 30:16.395493 31:-13.867216 32:-13.369223 33:14.441825 34:-16.01242 35:-12.181698 36:10.764331 37:-18.176779 38:-8.944737 39:8.446744 40:-19.306843 41:-6.6846113 42:6.2823853 43:-19.460072 44:-3.371036 45:4.156334 46:-19.460072 47:-2.1643584 48:0.7469909 49:-19.306843 50:2.2601264 51:-2.2218192 52:-18.693928 53:4.367024 54:-5.841852 55:-18.119318 56:5.9184666 57:-9.883265 58:-16.261417 59:12.373235 60:-13.120225 61:-14.633361 62:19.13446 63:-10.208876 64:-17.00841 65:19.460072 66:-0.2681506 67:-19.383457 68:16.452953 69:8.197746 70:-17.946936 71:7.52737 72:18.08101 73:-14.499286 74:15.801731 75:19.460072 76:-16.548721 77:19.364304 78:19.460072 79:-19.460072 80:0.21068975 81:19.460072 82:-14.480132 83:-19.517532 84:19.460072 85:-10.936713 86:-19.211075 87:19.460072 88:-18.44493 89:-11.741165 
+4 0:19.230228 1:-2.7389667 2:-10.994174 3:17.046717 4:-8.734048 5:-6.0716953 6:15.916653 7:-13.560759 8:-13.254301 9:13.292608 10:-9.308656 11:-19.6133 12:13.9438305 13:-7.067683 14:-19.6133 15:15.74427 16:-10.649409 17:-19.6133 18:17.697939 19:-12.469003 20:-19.6133 21:19.460072 22:-12.5264635 23:-19.6133 24:19.460072 25:-15.7825775 26:-19.6133 27:19.460072 28:-19.460072 29:-19.6133 30:18.65562 31:-19.460072 32:-16.682798 33:16.050728 34:-19.460072 35:-11.319786 36:16.989256 37:-19.460072 38:-7.1826053 39:12.411542 40:-19.460072 41:-7.9870567 42:7.4124484 43:-19.460072 44:-5.3247046 45:5.1523223 46:-19.460072 47:-3.620033 48:1.8195933 49:-19.460072 50:-1.7046716 51:-0.7661445 52:-19.460072 53:5.094861 54:-6.2632318 55:-19.460072 56:15.437813 57:-14.135366 58:-18.86631 59:19.460072 60:-12.852075 61:-17.583017 62:19.460072 63:-5.305551 64:-17.506403 65:18.981232 66:3.8881836 67:-14.729129 68:10.97502 69:7.7572136 70:-11.951855 71:8.159439 72:12.737153 73:-8.0445175 74:14.518439 75:19.325996 76:-7.5465236 77:18.598158 78:19.460072 79:-8.00621 80:2.719813 81:19.460072 82:-0.4213795 83:-8.810662 84:19.460072 85:-2.0111294 86:-0.1340753 87:19.460072 88:-17.219099 89:-1.4556746 
+4 0:19.460072 1:-3.1986535 2:-3.9456444 3:18.904617 4:-6.205771 5:-17.774553 6:14.346057 7:-3.3901896 8:-19.6133 9:13.503298 10:-5.0374002 11:-16.74026 12:14.058752 13:-7.2783732 14:-19.13446 15:17.889475 16:-5.4204726 17:-19.6133 18:19.460072 19:-8.465898 20:-19.6133 21:19.460072 22:-13.560759 23:-19.6133 24:19.460072 25:-17.908628 26:-19.517532 27:19.460072 28:-19.460072 29:-19.6133 30:19.28769 31:-19.460072 32:-19.038692 33:14.422671 34:-19.460072 35:-12.813767 36:8.00621 37:-19.460072 38:-5.841852 39:5.8226986 40:-19.460072 41:-0.78529817 42:3.5817258 43:-19.460072 44:3.620033 45:-0.095768064 46:-19.460072 47:6.6654577 48:-4.654328 49:-19.460072 50:8.082825 51:-10.802638 52:-18.176779 53:13.503298 54:-11.81778 55:-15.456966 56:19.383457 57:-5.7843914 58:-15.552734 59:17.353174 60:4.960786 61:-15.916653 62:7.8529816 63:8.159439 64:-13.2351465 65:6.0525417 66:9.308656 67:-6.742072 68:10.496181 69:12.277467 70:-1.685518 71:17.908628 72:18.981232 73:0.9576807 74:14.614207 75:19.460072 76:6.1100025 77:2.0111294 78:19.460072 79:12.373235 80:-6.7803793 81:19.460072 82:10.419566 83:-9.9790325 84:19.460072 85:2.2601264 86:-12.98615 87:19.460072 88:-4.3478703 89:-19.211075 
